CID,fsa,fsa2
491824829,t2z,T2Z
491824833,l5e,L5E
491824844,a0g,A0G
491824847,h9w,H9W
491824858,m8w,M8W
491824869,t3g,T3G
491824885,l4n,L4N
491824907,m5v,M5V
491824912,l3p,L3P
491824920,m1g,M1G
491824928,a1a,A1A
491824961,b2h,B2H
491824984,k6v,K6V
491824999,a0j,A0J
491825021,l8k,L8K
491825023,v2w,V2W
491825027,h8p,H8P
491825031,t4r,T4R
491825032,r3c,R3C
491825038,j3y,J3Y
491825044,h4a,H4A
491825049,a8a,A8A
491825066,v0k,V0K
491825073,e1a,E1A
491825080,v9r,V9R
491825081,t8a,T8A
491825098,m2n,M2N
491825162,n0a,N0A
491825200,b1n,B1N
491825205,g9n,G9N
491825251,k1j,K1J
491825301,g9h,G9H
491825322,l1j,L1J
491825355,m3l,M3L
491825357,l5b,L5B
491825404,t6j,T6J
491825410,a0a,A0A
491825424,v3v,V3V
491825431,g9h,G9H
491825474,m9r,M9R
491825494,t4n,T4N
491825509,m2m,M2M
491825520,v3k,V3K
491825572,m6m,M6M
491825619,s4h,S4H
491825640,v7c,V7C
491825852,j9e,J9E
491826257,n6j,N6J
491826299,e1e,E1E
491826414,j8a,J8A
491826542,k9j,K9J
491826639,v0j,V0J
491826790,h1g,H1G
491826963,n8n,N8N
491827011,h4w,H4W
491827046,l6p,L6P
491827047,s6j,S6J
491827083,t6j,T6J
491827100,n1h,N1H
491827131,h2n,H2N
491827148,j6e,J6E
491827197,l5a,L5A
491827219,m9m,M9M
491827230,b3h,B3H
491827327,a0n,A0N
491827348,v1e,V1E
491827357,t9w,T9W
491827414,a2v,A2V
491827586,t2k,T2K
491827631,l3z,L3Z
491827760,m2h,M2H
491827768,m1b,M1B
491827898,k0a,K0A
491827992,l3x,L3X
491828051,v7c,V7C
491828199,p3e,P3E
491828287,m6j,M6J
491828577,l4z,L4Z
491828634,l6l,L6L
491829056,e2j,E2J
491829579,l5l,L5L
491830124,l5r,L5R
491830828,h3j,H3J
491831276,k2j,K2J
491831295,h1y,H1Y
491831573,p0b,P0B
491832658,m1j,M1J
491832684,r5l,R5L
491833531,l6c,L6C
491833767,v3b,V3B
491834337,m3j,M3J
491834842,m4c,M4C
491835948,m1w,M1W
491836747,k1j,K1J
491837905,v9r,V9R
491837909,s0e,S0E
491838388,k0a,K0A
491856332,t3a,T3A
491857875,l7r,L7R
491860661,m4k,M4K
491861356,t3m,T3M
491862306,m5n,M5N
491863904,m6h,M6H
491869732,l7p,L7P
491872153,g8v,G8V
491875657,t6x,T6X
491875672,v8r,V8R
491881426,v8r,V8R
491885222,h2x,H2X
491892137,g7j,G7J
491894504,m5b,M5B
491901750,k1p,K1P
491919193,p3c,P3C
491938308,v6e,V6E
491957854,j1j,J1J
492048071,h4k,H4K
492056006,k2v,K2V
492060304,m6k,M6K
492105114,v3z,V3Z
492132099,c1e,C1E
492151083,r3m,R3M
492152432,r3l,R3L
492152498,r2h,R2H
492152790,r1n,R1N
492154173,r3x,R3X
492167387,r3t,R3T
492189247,l0s,L0S
492212174,r2w,R2W
492214159,r2n,R2N
492219359,,
492222013,r2m,R2M
492224120,r7b,R7B
492248369,r3y,R3Y
492298202,r2w,R2W
492303830,r1a,R1A
492323841,r3m,R3M
492326919,r0l,R0L
492358061,m9c,M9C
492380089,r2k,R2K
492387546,n1h,N1H
492387558,t4t,T4T
492387565,e2j,E2J
492387576,h4c,H4C
492387596,a0b,A0B
492387601,l3r,L3R
492387612,v3y,V3Y
492387613,t6a,T6A
492387617,v5j,V5J
492387651,n5p,N5P
492387658,p7b,P7B
492387684,t4p,T4P
492387687,m5n,M5N
492387689,e1b,E1B
492387692,l7s,L7S
492387726,t6j,T6J
492387729,l4t,L4T
492387752,m2n,M2N
492387755,m1s,M1S
492387766,l2g,L2G
492387768,m5r,M5R
492387770,n0r,N0R
492387772,l5c,L5C
492387774,n5p,N5P
492387783,t2r,T2R
492387785,n5v,N5V
492387791,m1p,M1P
492387802,p6c,P6C
492387814,s7t,S7T
492387815,m1k,M1K
492387867,s4s,S4S
492387877,n6j,N6J
492387888,k0c,K0C
492387890,h2j,H2J
492387898,t2a,T2A
492387908,t3k,T3K
492387917,e1e,E1E
492387930,m1n,M1N
492387936,m2r,M2R
492387945,v9c,V9C
492387946,l9h,L9H
492387950,m4n,M4N
492387962,p6a,P6A
492387965,n0p,N0P
492387969,t8a,T8A
492387978,l5c,L5C
492387998,j9h,J9H
492388002,v8m,V8M
492388009,a1c,A1C
492388010,g5l,G5L
492388012,a0n,A0N
492388022,p4n,P4N
492388024,e2j,E2J
492388028,l1r,L1R
492388070,m1k,M1K
492388077,r2w,R2W
492388078,k1v,K1V
492388084,n2e,N2E
492388103,b4a,B4A
492388122,v8s,V8S
492388124,m2n,M2N
492388128,l6s,L6S
492388130,r2y,R2Y
492388134,t6l,T6L
492388137,k0l,K0L
492388160,v6j,V6J
492388176,l5m,L5M
492388210,t2x,T2X
492388223,m5a,M5A
492388232,l5c,L5C
492388234,l7l,L7L
492388235,a1b,A1B
492388236,s4x,S4X
492388247,m8w,M8W
492388258,h9j,H9J
492388283,m2j,M2J
492388299,v2n,V2N
492388303,t7x,T7X
492388311,v7r,V7R
492388347,n6c,N6C
492388358,n5r,N5R
492388367,b3r,B3R
492388369,h3e,H3E
492388371,v7w,V7W
492388380,k0a,K0A
492388394,s4p,S4P
492388402,v2g,V2G
492388403,v0e,V0E
492388426,n0l,N0L
492388433,b2w,B2W
492388435,v0n,V0N
492388436,l5w,L5W
492388437,l4s,L4S
492388452,b3m,B3M
492388456,t3l,T3L
492388474,s7k,S7K
492388475,j0k,J0K
492388485,v2l,V2L
492388486,v0x,V0X
492388491,l6c,L6C
492388492,v0h,V0H
492388501,n4n,N4N
492388512,v1t,V1T
492388520,v9r,V9R
492388522,g0l,G0L
492388524,v7j,V7J
492388533,t6x,T6X
492388547,v6p,V6P
492388559,r3j,R3J
492388564,k1v,K1V
492388581,v2x,V2X
492388586,l9m,L9M
492388590,v1z,V1Z
492388596,t5t,T5T
492388608,s7k,S7K
492388614,m1g,M1G
492388622,r9a,R9A
492388633,n6b,N6B
492388636,m6j,M6J
492388637,k7k,K7K
492388641,m6p,M6P
492388647,e2h,E2H
492388652,m3j,M3J
492388655,h1e,H1E
492388688,m3a,M3A
492388692,l0r,L0R
492388695,t2y,T2Y
492388696,j6a,J6A
492388703,v2j,V2J
492388704,t8l,T8L
492388710,n6e,N6E
492388718,b1p,B1P
492388722,r2p,R2P
492388727,r3t,R3T
492388743,r3t,R3T
492388745,p3e,P3E
492388752,g9b,G9B
492388758,b2x,B2X
492388765,m5a,M5A
492388766,l4l,L4L
492388799,r2m,R2M
492388814,h4g,H4G
492388817,h1e,H1E
492388825,m9b,M9B
492388830,l4m,L4M
492388831,t1b,T1B
492388844,n5a,N5A
492388846,t5x,T5X
492388857,r4a,R4A
492388874,s7l,S7L
492388879,l1p,L1P
492388881,s6h,S6H
492388885,v9c,V9C
492388887,m2m,M2M
492388897,r2m,R2M
492388900,b3h,B3H
492388930,t6l,T6L
492388946,r3t,R3T
492388973,l6x,L6X
492388982,v0r,V0R
492388992,k2k,K2K
492388994,v2r,V2R
492388996,e1b,E1B
492388999,j4w,J4W
492389019,b3v,B3V
492389029,p6a,P6A
492389032,v2b,V2B
492389050,m4p,M4P
492389057,b3n,B3N
492389065,s0k,S0K
492389066,l2m,L2M
492389069,n1g,N1G
492389074,m6n,M6N
492389099,b3k,B3K
492389120,v5s,V5S
492389127,b2v,B2V
492389134,v5s,V5S
492389137,v9m,V9M
492389138,l6s,L6S
492389151,v0c,V0C
492389176,l2g,L2G
492389224,k1r,K1R
492389253,e3b,E3B
492389297,e3b,E3B
492389303,v3m,V3M
492389324,t3b,T3B
492389337,a1e,A1E
492389355,n2l,N2L
492389356,n2n,N2N
492389359,k6k,K6K
492389370,t6w,T6W
492389372,n3t,N3T
492389378,j7v,J7V
492389392,s7m,S7M
492389399,k0h,K0H
492389403,v3e,V3E
492389419,g0x,G0X
492389432,r2g,R2G
492389437,v9w,V9W
492389442,s0e,S0E
492389451,r1a,R1A
492389456,l4c,L4C
492389465,t6x,T6X
492389471,b0j,B0J
492389476,r2n,R2N
492389500,a1e,A1E
492389503,k9h,K9H
492389511,m8z,M8Z
492389515,l6a,L6A
492389518,b3k,B3K
492389523,m6r,M6R
492389535,e1b,E1B
492389572,m9w,M9W
492389575,l6t,L6T
492389610,m6a,M6A
492389620,k1j,K1J
492389624,n0c,N0C
492389644,v7m,V7M
492389649,v3m,V3M
492389653,k0k,K0K
492389655,b3a,B3A
492389662,t2g,T2G
492389664,v9s,V9S
492389666,m9r,M9R
492389667,l5c,L5C
492389675,m1p,M1P
492389702,l4c,L4C
492389708,v4m,V4M
492389722,t5t,T5T
492389743,m1b,M1B
492389783,k2j,K2J
492389784,v1t,V1T
492389819,m9v,M9V
492389823,l3z,L3Z
492389844,v9v,V9V
492389863,t5g,T5G
492389867,l5a,L5A
492389879,h4m,H4M
492389881,v4m,V4M
492389903,p7k,P7K
492389916,h2a,H2A
492389920,m9b,M9B
492389937,e1b,E1B
492389941,v2n,V2N
492389950,t5z,T5Z
492389960,m4e,M4E
492389970,r2m,R2M
492389987,r3b,R3B
492390022,k7g,K7G
492390041,n0m,N0M
492390056,v5v,V5V
492390070,m2n,M2N
492390076,r0c,R0C
492390096,b2t,B2T
492390098,l4e,L4E
492390101,e4e,E4E
492390102,r2m,R2M
492390116,k1y,K1Y
492390128,v4r,V4R
492390137,k2e,K2E
492390169,j1l,J1L
492390171,m4e,M4E
492390179,r2g,R2G
492390187,l1h,L1H
492390193,v5e,V5E
492390194,v1c,V1C
492390204,v2y,V2Y
492390216,b0j,B0J
492390221,b3a,B3A
492390226,c0b,C0B
492390247,t8n,T8N
492390249,l6l,L6L
492390256,t5t,T5T
492390260,v3e,V3E
492390285,v0r,V0R
492390295,k2b,K2B
492390297,a0a,A0A
492390347,v6z,V6Z
492390351,l4l,L4L
492390354,v2s,V2S
492390414,v3b,V3B
492390417,m5c,M5C
492390455,t8x,T8X
492390461,v3a,V3A
492390483,c0a,C0A
492390485,h4c,H4C
492390488,v8v,V8V
492390489,v7c,V7C
492390507,l5n,L5N
492390529,v1v,V1V
492390535,t3g,T3G
492390537,j4h,J4H
492390564,t3m,T3M
492390580,l9z,L9Z
492390594,l4n,L4N
492390596,l1g,L1G
492390608,m9c,M9C
492390633,n0p,N0P
492390638,l8g,L8G
492390658,v4n,V4N
492390677,k2j,K2J
492390681,n0p,N0P
492390704,h4c,H4C
492390738,l8l,L8L
492390752,p7k,P7K
492390768,t9e,T9E
492390801,k0c,K0C
492390839,v6k,V6K
492390848,h7w,H7W
492390852,k2m,K2M
492390872,n2h,N2H
492390881,m2k,M2K
492390896,k0k,K0K
492390901,g0r,G0R
492390930,b3j,B3J
492390954,e3b,E3B
492390960,v2l,V2L
492390961,b2n,B2N
492390980,m1n,M1N
492391005,h1r,H1R
492391010,v1c,V1C
492391048,t5w,T5W
492391050,k9j,K9J
492391055,k7k,K7K
492391062,l4n,L4N
492391077,s6v,S6V
492391106,l9n,L9N
492391114,e3a,E3A
492391120,n2m,N2M
492391123,v6p,V6P
492391124,t2r,T2R
492391143,s0j,S0J
492391148,l6y,L6Y
492391192,t8n,T8N
492391197,v2e,V2E
492391201,n5z,N5Z
492391210,k2p,K2P
492391239,v3c,V3C
492391246,l5m,L5M
492391261,r2n,R2N
492391273,s0n,S0N
492391304,n7t,N7T
492391321,n7a,N7A
492391327,t4b,T4B
492391339,b0j,B0J
492391344,b2n,B2N
492391400,k9v,K9V
492391406,t3g,T3G
492391410,k9a,K9A
492391460,m1m,M1M
492391481,p1a,P1A
492391489,k6j,K6J
492391497,l8v,L8V
492391504,s7k,S7K
492391531,v1a,V1A
492391535,h2e,H2E
492391540,t1l,T1L
492391555,v2s,V2S
492391558,p7a,P7A
492391567,v1v,V1V
492391586,k6h,K6H
492391628,h4n,H4N
492391648,v5g,V5G
492391673,v5c,V5C
492391697,h3c,H3C
492391704,l9e,L9E
492391719,s4x,S4X
492391764,j0k,J0K
492391785,v3j,V3J
492391791,e4y,E4Y
492391806,m3n,M3N
492391809,l6s,L6S
492391814,l7l,L7L
492391827,l1j,L1J
492391866,v3s,V3S
492391867,m8v,M8V
492391905,m1m,M1M
492391906,t3g,T3G
492391932,n1r,N1R
492391934,j5w,J5W
492391937,k6h,K6H
492391990,l7t,L7T
492392019,m5v,M5V
492392020,t2x,T2X
492392037,k1l,K1L
492392064,l6z,L6Z
492392091,l6v,L6V
492392095,v2w,V2W
492392104,v0x,V0X
492392116,s0a,S0A
492392121,v2e,V2E
492392134,t1l,T1L
492392169,m4y,M4Y
492392171,l8r,L8R
492392199,l0b,L0B
492392204,k1i,K1I
492392223,l8l,L8L
492392242,h4a,H4A
492392258,k7v,K7V
492392276,t2a,T2A
492392277,l6e,L6E
492392280,v8v,V8V
492392285,t8n,T8N
492392323,l6p,L6P
492392337,s4w,S4W
492392340,m1p,M1P
492392344,j4k,J4K
492392365,v2a,V2A
492392377,l4s,L4S
492392402,v5r,V5R
492392454,v2e,V2E
492392512,v2y,V2Y
492392549,l4a,L4A
492392573,m5c,M5C
492392606,l1b,L1B
492392607,v3s,V3S
492392629,v6j,V6J
492392672,n5w,N5W
492392720,m8y,M8Y
492392722,k8v,K8V
492392733,t6e,T6E
492392748,j3v,J3V
492392790,n1t,N1T
492392794,l4a,L4A
492392819,a1e,A1E
492392844,b4v,B4V
492392847,k1c,K1C
492392867,j6e,J6E
492392885,m4e,M4E
492392897,k9j,K9J
492392902,t6r,T6R
492392942,t6c,T6C
492392965,m6l,M6L
492392983,t1c,T1C
492393004,k7a,K7A
492393018,l4m,L4M
492393057,v7m,V7M
492393070,l7s,L7S
492393077,m6s,M6S
492393104,m9a,M9A
492393115,l4g,L4G
492393126,m4k,M4K
492393130,l6h,L6H
492393134,t5r,T5R
492393136,t9v,T9V
492393145,s4t,S4T
492393150,t2e,T2E
492393175,t8a,T8A
492393179,l5m,L5M
492393236,v7n,V7N
492393237,t3k,T3K
492393258,e3b,E3B
492393316,b3m,B3M
492393320,t5p,T5P
492393348,m1l,M1L
492393368,t0c,T0C
492393373,h2g,H2G
492393377,l4n,L4N
492393397,v2r,V2R
492393483,t5l,T5L
492393492,k1t,K1T
492393497,h1g,H1G
492393498,h4b,H4B
492393514,h3l,H3L
492393520,v1r,V1R
492393537,n4n,N4N
492393596,t5z,T5Z
492393616,t2w,T2W
492393635,m1k,M1K
492393639,m5v,M5V
492393650,l6c,L6C
492393671,l6s,L6S
492393722,h3m,H3M
492393767,v7l,V7L
492393781,k7m,K7M
492393783,n2a,N2A
492393784,a0g,A0G
492393802,k2j,K2J
492393822,t6h,T6H
492393833,h2t,H2T
492393846,l6l,L6L
492393868,m6s,M6S
492393872,b0p,B0P
492393921,v6g,V6G
492393923,h4v,H4V
492393936,t0a,T0A
492393971,t4h,T4H
492393976,h9r,H9R
492393989,m3h,M3H
492393999,m4w,M4W
492394037,v7c,V7C
492394067,t4t,T4T
492394128,v5h,V5H
492394131,m5b,M5B
492394174,m4l,M4L
492394176,t5r,T5R
492394186,n2a,N2A
492394192,h1v,H1V
492394216,n3t,N3T
492394238,j4x,J4X
492394255,t3h,T3H
492394290,l5a,L5A
492394313,v3r,V3R
492394315,t3k,T3K
492394328,a1e,A1E
492394331,v6y,V6Y
492394343,m6g,M6G
492394372,k4a,K4A
492394437,r1c,R1C
492394442,h9b,H9B
492394520,t3h,T3H
492394565,v8t,V8T
492394570,t0m,T0M
492394605,e2a,E2A
492394647,j8v,J8V
492394660,m1p,M1P
492394688,v5h,V5H
492394715,v1s,V1S
492394731,a1y,A1Y
492394907,v2r,V2R
492394915,m2r,M2R
492394917,v5k,V5K
492394918,r2n,R2N
492394921,l6p,L6P
492422811,r0k,R0K
492611818,g4r,G4R
492618722,r0a,R0A
492638676,r2j,R2J
492707670,e3b,E3B
492707671,a2h,A2H
492707740,v2b,V2B
492707849,r3b,R3B
492708011,m4w,M4W
492708126,l4h,L4H
492708184,m1s,M1S
492708200,k1v,K1V
492708224,p3c,P3C
492708247,e5t,E5T
492708271,n2m,N2M
492708280,h8p,H8P
492708282,j7z,J7Z
492708286,k0l,K0L
492708365,m1r,M1R
492708390,g5a,G5A
492708447,t6k,T6K
492708549,k0m,K0M
492708560,m1w,M1W
492708670,l4a,L4A
492708701,v1c,V1C
492708769,v3t,V3T
492708803,g0a,G0A
492708806,t5h,T5H
492708843,a1n,A1N
492708946,a1g,A1G
492709000,n9y,N9Y
492709038,l6h,L6H
492709039,l3t,L3T
492709078,l8e,L8E
492709096,n4x,N4X
492709119,m5r,M5R
492709132,t2y,T2Y
492709141,b3p,B3P
492709162,l4p,L4P
492709225,v3b,V3B
492709231,l2m,L2M
492709249,l4c,L4C
492709255,v0r,V0R
492709285,l7m,L7M
492709307,t5k,T5K
492709347,e3z,E3Z
492709354,m4c,M4C
492709362,l6c,L6C
492709363,l8k,L8K
492709426,r2g,R2G
492709427,l9s,L9S
492709428,m6h,M6H
492709448,s6h,S6H
492709547,p7c,P7C
492709556,r2p,R2P
492709561,m1b,M1B
492709618,r2k,R2K
492709662,v4g,V4G
492709670,p7e,P7E
492709675,m5a,M5A
492709693,l5m,L5M
492709713,g9h,G9H
492709760,h8p,H8P
492709791,a1l,A1L
492709798,l5v,L5V
492709827,v7l,V7L
492709829,t5x,T5X
492709832,s0j,S0J
492709833,v5a,V5A
492709838,k1r,K1R
492709881,v6m,V6M
492709886,v2x,V2X
